ticker,time,open,high,low,close,volume
VNINDEX,2025-01-02,1266.78,1271.13,1263.25,1269.71,428135718
VNINDEX,2025-01-03,1268.74,1269.01,1254.59,1254.59,560468400
VNINDEX,2025-01-06,1254.59,1260.37,1244.87,1246.35,565150232
VNINDEX,2025-01-07,1249.19,1254.09,1243.06,1246.95,560054884
VNINDEX,2025-01-08,1246.95,1251.02,1239.67,1251.02,445750575
VNINDEX,2025-01-09,1251.02,1253.26,1242.9,1245.77,336332868
VNINDEX,2025-01-10,1245.77,1247.8,1230.48,1230.48,499266400
VNINDEX,2025-01-13,1230.48,1235.65,1220.87,1235.65,519699252
VNINDEX,2025-01-14,1235.65,1235.65,1226.7,1229.07,374576392
VNINDEX,2025-01-15,1233.7,1237.46,1231.13,1236.18,466696448
VNINDEX,2025-01-16,1241.49,1245.4,1235.56,1242.36,499935827
VNINDEX,2025-01-17,1242.36,1249.11,1239.63,1249.11,432980446
VNINDEX,2025-01-20,1250.03,1253.02,1247.5,1249.55,430051115
VNINDEX,2025-01-21,1249.55,1254.17,1243.08,1246.09,478029221
VNINDEX,2025-01-22,1246.09,1249.14,1242.53,1242.53,495154837
VNINDEX,2025-01-23,1245.59,1263.59,1244.77,1259.63,540728780
VNINDEX,2025-01-24,1259.26,1265.38,1258.46,1265.05,516926043
VNINDEX,2025-02-03,1265.05,1265.05,1249.78,1253.03,534150700
VNINDEX,2025-02-04,1256.91,1264.68,1255.44,1264.68,652235892
VNINDEX,2025-02-05,1264.68,1271.8,1264.68,1269.61,583845302
VNINDEX,2025-02-06,1271.33,1275.47,1268.28,1271.48,557739544
VNINDEX,2025-02-07,1272.12,1279.35,1269.11,1275.2,600356895
VNINDEX,2025-02-10,1275.2,1275.2,1263.26,1263.26,794054460
VNINDEX,2025-02-11,1263.26,1268.45,1263.11,1268.45,622260600
VNINDEX,2025-02-12,1268.45,1272.86,1266.59,1266.91,504507839
VNINDEX,2025-02-13,1266.91,1270.67,1263.85,1270.35,511055562
VNINDEX,2025-02-14,1272.15,1280.6,1272.15,1276.08,647411257
VNINDEX,2025-02-17,1276.87,1278.49,1272.72,1272.72,851131491
VNINDEX,2025-02-18,1272.72,1283.34,1272.19,1278.14,705014613
VNINDEX,2025-02-19,1279.62,1288.56,1278.92,1288.56,810302000
VNINDEX,2025-02-20,1288.56,1295.82,1288.56,1292.98,764414400
VNINDEX,2025-02-21,1292.98,1296.75,1290.98,1296.75,730210454
VNINDEX,2025-02-24,1298.29,1304.56,1294.69,1304.56,887369287
VNINDEX,2025-02-25,1306.86,1309.97,1298.54,1303.16,881425026
VNINDEX,2025-02-26,1304.5,1306.49,1301.2,1302.96,754920199
VNINDEX,2025-02-27,1307.31,1307.87,1296.43,1307.8,889914300
VNINDEX,2025-02-28,1307.8,1308.77,1300.66,1305.36,807551799
VNINDEX,2025-03-03,1305.3,1309.77,1304.3,1309.37,927346160
VNINDEX,2025-03-04,1309.37,1313.21,1298.28,1311.91,1046891192
VNINDEX,2025-03-05,1312.96,1319.52,1304.71,1304.71,972631786
VNINDEX,2025-03-06,1308.39,1318.22,1307.91,1318.22,1058717452
VNINDEX,2025-03-07,1320.08,1327.07,1318.71,1326.05,952041245
VNINDEX,2025-03-10,1332.03,1335.87,1326.51,1330.28,1010350519
VNINDEX,2025-03-11,1319.09,1332.54,1315.92,1332.54,929624688
VNINDEX,2025-03-12,1337.63,1342.91,1331.75,1334.41,934568537
VNINDEX,2025-03-13,1336.41,1340.91,1324.87,1326.27,1066649034
VNINDEX,2025-03-14,1325.84,1333.32,1324.3,1326.15,1019963200
VNINDEX,2025-03-17,1330.62,1336.26,1329.05,1336.26,951867643
VNINDEX,2025-03-18,1340.59,1341.65,1330.97,1330.97,898223931
VNINDEX,2025-03-19,1330.46,1330.7,1320.85,1324.63,945849600
VNINDEX,2025-03-20,1327.2,1332.41,1316.11,1323.93,910926478
VNINDEX,2025-03-21,1323.94,1325.22,1320.67,1321.88,799888919
VNINDEX,2025-03-24,1322.9,1330.32,1316.73,1330.32,917944680
VNINDEX,2025-03-25,1330.99,1337.6,1329.81,1331.92,1006767919
